year,month,date_of_month,day_of_week,births,date
2001,12,15,6,8615,12/15/2001
2001,12,16,7,7432,12/16/2001
2001,12,17,1,12392,12/17/2001
2001,12,18,2,13657,12/18/2001
2001,12,19,3,13404,12/19/2001
2001,12,20,4,13871,12/20/2001
2001,12,21,5,13530,12/21/2001
2001,12,22,6,9062,12/22/2001
2001,12,23,7,7245,12/23/2001
2001,12,24,1,7626,12/24/2001
2001,12,25,2,6603,12/25/2001
2001,12,26,3,11040,12/26/2001
2001,12,27,4,14151,12/27/2001
2001,12,28,5,14235,12/28/2001
2001,12,29,6,9563,12/29/2001
2001,12,30,7,7840,12/30/2001
2001,12,31,1,10272,12/31/2001
